id,tipo_contrato,objetivo,requisitos_obrigatorios,requisitos_opcionais
1,Contrato de manutenção de serviço,"Estabelece parâmetros para prestação de serviços entre partes.","Clareza no objeto do contrato. Regras de execução e entrega. Condições de pagamento e rescisão.","Cláusulas de sigilo. Conformidade fiscal e trabalhista."
2,Contrato social,"Formaliza o vínculo entre sócios.","Normas de operação claras. Definição de capital social. Direitos e deveres dos sócios.","Mecanismos para resolução de conflitos. Procedimentos de entrada e saída de sócios."
3,Contrato de compra e venda,"Regula transações de bens entre comprador e vendedor.","Identificação clara das partes. Descrição detalhada do bem. Termos de pagamento e entrega.","Garantias contra defeitos. Condições para rescisão."
4,Contratos administrativos,"Acordos entre empresas e o Poder Público.","Conformidade legal com normas administrativas. Definição clara das obrigações das partes. Garantia de execução.","Princípios de transparência. Penalidades por descumprimento."
5,"Contrato de Consumo ou prestação de serviços","Protege o consumidor em transações comerciais.","REQUISITO: Partes do Contrato. Possuir a devida qualificação, com ao menos, nome, CPF/CNPJ e endereço. REQUISITO: Objeto do contrato. Se define uma obgrigação de fazer, uma conduta, tanto material como intelectual com a devida contraprestação economica. A prestação de serviço deve se desvincular com a relação trabalhista pois tem sua natureza eventual e esporádica, portanto não deve fixar dias e horários exclusivos para a prestação do serviço. REQUISITO: Valores do contrato. REQUISITO: Termos e condições de rescisão. Pode ser bilateral e ou  unilateral, sendo que na a rescisão / extinção sem justa causa, pode ser considerado os motivos,  O contrato de prestação de serviço acaba com a morte de qualquer das partes. Termina, ainda, pelo escoamento do prazo, pela conclusão da obra, pela rescisão do contrato mediante aviso prévio, por inadimplemento de qualquer das partes ou pela impossibilidade da continuação do contrato, motivada por força maior. REQUISITO: Duração do contrato. Não deve ser superior a 4 anos","REQUISITO: Aliciamento de mão-de-obra.  Nenhuma das partes poderão contratar a mão de obra da outra parte. REQUISITO: Políticas de devolução. REQUISITO: Política de Privacidade"
6,Contrato de sociedade,"Regula as relações entre sócios.","Estabelecimento de direitos e deveres dos sócios da empresa. Regras para distribuição de lucros entre os sócios da empresa. Procedimentos de governança.","Mecanismos de mediação de conflitos. Cláusulas para dissolução."
7,Contratos mercantis,"Viabiliza relações empresariais.","Clareza nas condições comerciais. Definição de direitos e obrigações das partes.","Cláusulas de exclusividade. Regras de compensação financeira."
9,Contrato eletrônico,"Regula transações realizadas online.","Conformidade com a legislação digital. Clareza nas condições de oferta. Proteção de dados.","Garantias legais de consumo. Políticas de privacidade."
10,Contrato de trabalho,"Estabelece vínculos entre empregador e empregado.","Definição de funções e responsabilidades. Termos de remuneração e jornada de trabalho.","Regras para demissão e rescisão. Benefícios adicionais."
999,"Contrato de Consumo ou prestação de serviços PLUS","Protege o consumidor em transações comerciais.","REQUISITO: Partes do Contrato, com a devida qualificação, com ao menos, nome, CPF/CNPJ e endereço. REQUISITO: Objeto do contrato, no qual se define uma obgrigação de fazer, uma conduta, tanto material como intelectual com a devida contraprestação economica. A prestação de serviço deve se desvincular com a relação trabalhista pois tem sua natureza eventual e esporádica, portanto não deve fixar dias e horários exclusivos para a prestação do serviço. REQUISITO: Valores do contrato. REQUISITO: Termos e condições de rescisão, que pode ser bilateral e ou  unilateral. Na rescisão / extinção sem justa causa, pode ser considerado os motivos,  O contrato de prestação de serviço acaba com a morte de qualquer das partes. Termina, ainda, pelo escoamento do prazo, pela conclusão da obra, pela rescisão do contrato mediante aviso prévio, por inadimplemento de qualquer das partes ou pela impossibilidade da continuação do contrato, motivada por força maior. REQUISITO: Duração do contrato, não deve ser superior a 4 anos","REQUISITO: Aliciamento de mão-de-obra, nenhuma das partes poderão contratar a mão de obra da outra parte. REQUISITO: Políticas de devolução. REQUISITO: Política de Privacidade"
