Pergunta,Resposta
Quais serviços o escritório oferece?,"Nosso escritório oferece uma ampla gama de serviços jurídicos, incluindo consultoria, elaboração de contratos, representação em processos judiciais e administrativos, e mediação de conflitos. Atendemos tanto pessoas físicas quanto jurídicas."
O escritório atende clientes internacionais?,"Sim, atendemos clientes internacionais, especialmente em casos que envolvem direito empresarial, contratos internacionais, imigração e investimentos no Brasil. Oferecemos atendimento em inglês e espanhol."
Quais são os custos associados a um processo trabalhista?,"Os custos podem variar dependendo da complexidade do caso, mas incluem honorários advocatícios, taxas judiciais e possíveis despesas com perícias. Sempre fornecemos uma estimativa detalhada aos nossos clientes."
O escritório trabalha com advocacia preventiva?,"Sim, acreditamos que a advocacia preventiva é essencial para evitar problemas jurídicos futuros. Oferecemos consultorias regulares e análises de riscos legais."
Qual é o prazo médio para conclusão de um processo cível?,"O prazo médio pode variar, mas, em geral, processos cíveis podem durar entre seis meses e dois anos, dependendo da complexidade do caso e da carga do judiciário."
Como é calculado o valor dos honorários advocatícios?,"Os honorários são calculados com base na complexidade do caso, no tempo estimado de trabalho e no valor envolvido na causa. Seguimos sempre a tabela da OAB como referência."
Quais documentos são necessários para abrir um processo?,"Para abrir um processo, geralmente são necessários documentos pessoais, provas relacionadas ao caso, contratos, recibos e outros documentos específicos dependendo da natureza da ação."
O escritório oferece consultoria jurídica online?,"Sim, oferecemos consultoria jurídica online para maior comodidade de nossos clientes. As reuniões podem ser realizadas por videoconferência ou outros meios digitais."
Quais áreas do direito o escritório abrange?,"Nosso escritório abrange diversas áreas do direito, incluindo trabalhista, cível, empresarial, tributário, ambiental e de propriedade intelectual."
O que fazer se eu receber uma intimação judicial?,"Recomenda-se entrar em contato com nosso escritório imediatamente para análise do caso e orientação sobre como proceder, garantindo seus direitos."
O escritório tem especialistas em direito tributário?,"Sim, temos especialistas em direito tributário para atender empresas e pessoas físicas em questões fiscais, planejamentos tributários e disputas administrativas."
Qual é o procedimento para realizar um divórcio consensual?,"O divórcio consensual é um procedimento mais rápido e simples, que pode ser realizado em cartório ou judicialmente, dependendo do caso. Orientamos sobre todos os passos."
O escritório trabalha com contratos empresariais?,"Sim, elaboramos e revisamos contratos empresariais, garantindo que estejam em conformidade com as legislações vigentes e os interesses do cliente."
Quais são os direitos do consumidor ao adquirir um produto com defeito?,"O consumidor tem direito à reparação ou substituição do produto, e, caso o problema não seja resolvido, pode buscar ajuda no Procon ou no Judiciário."
Como proceder em caso de demissão sem justa causa?,"É importante verificar se seus direitos foram respeitados, como aviso prévio, pagamento de verbas rescisórias e acesso ao seguro-desemprego."
O escritório ajuda na recuperação de crédito?,"Sim, atuamos em ações de recuperação de crédito, negociando com devedores e, se necessário, ajuizando ações para recuperação de valores."
