id,Pergunta,Resposta
1,Quais serviços o escritório oferece?,"Nosso escritório oferece uma ampla gama de serviços jurídicos, incluindo consultoria, elaboração de contratos, representação em processos judiciais e administrativos, e mediação de conflitos. Atendemos tanto pessoas físicas quanto jurídicas."
2,O escritório atende clientes internacionais?,"Sim, atendemos clientes internacionais, especialmente em casos que envolvem direito empresarial, contratos internacionais, imigração e investimentos no Brasil. Oferecemos atendimento em inglês e espanhol."
3,Quais são os custos associados a um processo trabalhista?,"Os custos podem variar dependendo da complexidade do caso, mas incluem honorários advocatícios, taxas judiciais e possíveis despesas com perícias. Sempre fornecemos uma estimativa detalhada aos nossos clientes."
4,O escritório trabalha com advocacia preventiva?,"Sim, acreditamos que a advocacia preventiva é essencial para evitar problemas jurídicos futuros. Oferecemos consultorias regulares e análises de riscos legais."
5,Qual é o prazo médio para conclusão de um processo cível?,"O prazo médio pode variar, mas, em geral, processos cíveis podem durar entre seis meses e dois anos, dependendo da complexidade do caso e da carga do judiciário."
6,Como é calculado o valor dos honorários advocatícios?,"Os honorários são calculados com base na complexidade do caso, no tempo estimado de trabalho e no valor envolvido na causa. Seguimos sempre a tabela da OAB como referência."
7,Quais documentos são necessários para abrir um processo?,"Para abrir um processo, geralmente são necessários documentos pessoais, provas relacionadas ao caso, contratos, recibos e outros documentos específicos dependendo da natureza da ação."
8,O escritório oferece consultoria jurídica online?,"Sim, oferecemos consultoria jurídica online para maior comodidade de nossos clientes. As reuniões podem ser realizadas por videoconferência ou outros meios digitais."
9,Quais áreas do direito o escritório abrange?,"Nosso escritório abrange diversas áreas do direito, incluindo trabalhista, cível, empresarial, tributário, ambiental e de propriedade intelectual."
10,O que fazer se eu receber uma intimação judicial?,"Recomenda-se entrar em contato com nosso escritório imediatamente para análise do caso e orientação sobre como proceder, garantindo seus direitos."
11,O escritório tem especialistas em direito tributário?,"Sim, temos especialistas em direito tributário para atender empresas e pessoas físicas em questões fiscais, planejamentos tributários e disputas administrativas."
12,Qual é o procedimento para realizar um divórcio consensual?,"O divórcio consensual é um procedimento mais rápido e simples, que pode ser realizado em cartório ou judicialmente, dependendo do caso. Orientamos sobre todos os passos."
13,O escritório trabalha com contratos empresariais?,"Sim, elaboramos e revisamos contratos empresariais, garantindo que estejam em conformidade com as legislações vigentes e os interesses do cliente."
14,Quais são os direitos do consumidor ao adquirir um produto com defeito?,"O consumidor tem direito à reparação ou substituição do produto, e, caso o problema não seja resolvido, pode buscar ajuda no Procon ou no Judiciário."
15,Como proceder em caso de demissão sem justa causa?,"É importante verificar se seus direitos foram respeitados, como aviso prévio, pagamento de verbas rescisórias e acesso ao seguro-desemprego."
16,O escritório ajuda na recuperação de crédito?,"Sim, atuamos em ações de recuperação de crédito, negociando com devedores e, se necessário, ajuizando ações para recuperação de valores."
17,É possível reverter uma decisão judicial desfavorável?,"Sim, é possível recorrer em algumas situações, dependendo do tipo de decisão e do prazo para interposição de recursos."
18,O escritório atua em processos de inventário e partilha de bens?,"Sim, atuamos em processos de inventário e partilha de bens, orientando sobre a documentação necessária e os procedimentos legais."
19,Quais são os riscos de não ter um contrato formal em transações comerciais?,A ausência de contrato formal pode gerar disputas e dificuldades para comprovar direitos. Recomendamos sempre formalizar as transações.
20,Quais os benefícios de um acordo extrajudicial?,"Os acordos extrajudiciais podem ser mais rápidos e econômicos, além de reduzir desgastes emocionais e preservar relacionamentos entre as partes."
21,O escritório possui advogados especializados em LGPD?,"Sim, temos profissionais especializados em LGPD para orientar empresas na adequação à lei e evitar penalidades."
22,Como proteger minha marca ou patente?,"Para proteger sua marca ou patente, é necessário realizar o registro no INPI. Oferecemos todo o suporte durante o processo."
23,O escritório realiza acompanhamento em audiências?,"Sim, acompanhamos nossos clientes em audiências, garantindo uma defesa técnica e eficaz em todas as etapas do processo."
24,Quais são os direitos em caso de assédio moral no trabalho?,A vítima de assédio moral tem direito à indenização e pode buscar orientação jurídica para registrar a ocorrência e buscar reparação.
25,Como funciona o atendimento para empresas?,"Oferecemos atendimento personalizado para empresas, incluindo consultoria, análise de contratos e gestão de riscos legais."
26,O escritório oferece serviços de compliance?,"Sim, auxiliamos empresas na implementação de programas de compliance, garantindo conformidade com legislações e prevenção de riscos legais."
27,Como evitar problemas legais em contratos de locação?,"Recomendamos revisar o contrato com um advogado antes de assiná-lo, para evitar cláusulas abusivas ou omissões que prejudiquem o locador ou o locatário."
28,O que é necessário para solicitar a guarda compartilhada de um filho?,"É necessário apresentar provas de que a guarda compartilhada será no melhor interesse do menor, incluindo documentação e testemunhos."
29,Quais são os prazos para recorrer de uma decisão judicial?,Os prazos variam de acordo com o tipo de recurso e o tribunal. É fundamental agir rapidamente para não perder o prazo.
30,O escritório atua em defesa de empresas em processos ambientais?,"Sim, defendemos empresas em processos relacionados a danos ambientais, orientando sobre regularizações e disputas judiciais."
31,Quais são os cuidados ao abrir uma empresa?,"Abrir uma empresa requer análise do modelo de negócio, escolha do tipo societário e elaboração de contratos sociais. Oferecemos suporte completo nesse processo."
32,Como lidar com cobranças indevidas de instituições financeiras?,"Recomendamos revisar extratos bancários e contratos para verificar cobranças indevidas. Se necessário, ajuizamos ações para cessar a prática."
33,O escritório atua em ações de usucapião?,"Sim, atuamos em ações de usucapião, orientando sobre os requisitos legais e reunindo os documentos necessários para o processo."
34,O que fazer em caso de violação de direitos autorais?,A violação de direitos autorais pode resultar em ações judiciais. Atuamos na proteção dos direitos do autor e na reparação de danos.
35,Quais são os critérios para concessão de aposentadoria?,"Os critérios incluem tempo de contribuição, idade mínima e outros requisitos específicos. Oferecemos consultoria para verificar a elegibilidade."
36,O escritório oferece treinamentos jurídicos para empresas?,"Sim, oferecemos treinamentos sobre legislação e boas práticas para equipes empresariais, adaptados às necessidades do cliente."
37,O que é assessoria jurídica para startups?,"A assessoria jurídica para startups inclui estruturação societária, análise de contratos, proteção de propriedade intelectual e planejamento tributário."
38,Como regularizar uma sociedade empresarial?,"Oferecemos suporte para regularizar sociedades empresariais, incluindo alterações contratuais e registro em órgãos competentes."
39,O escritório atua em casos de danos morais?,"Sim, atuamos em casos de danos morais, analisando cada situação e buscando reparação adequada no Judiciário."
40,Quais são os benefícios de uma mediação judicial?,"A mediação judicial promove soluções consensuais, reduzindo o tempo e o custo de litígios, além de preservar os relacionamentos entre as partes."
41,Como funciona a cobrança de honorários por êxito?,Honorários por êxito são cobrados com base no resultado obtido no processo. O percentual é acordado previamente com o cliente.
42,O escritório pode ajudar em processos licitatórios?,"Sim, auxiliamos empresas em todas as etapas de processos licitatórios, garantindo conformidade com a legislação vigente."
43,Quais são as etapas para obter um visto de trabalho no Brasil?,"Os passos incluem reunir documentos, comprovar a necessidade do visto e atender às exigências do Ministério da Justiça. Oferecemos suporte em todo o processo."
44,Como contestar multas aplicadas por órgãos públicos?,A contestação de multas exige análise da infração e das notificações. Atuamos na elaboração de recursos administrativos e judiciais.
45,O escritório atua em casos de direito imobiliário?,"Sim, temos expertise em direito imobiliário, abrangendo compra, venda, locação e regularização de imóveis."
46,Quais são os passos para registrar uma ONG?,"O registro de uma ONG envolve elaboração de estatutos, registro em cartório e obtenção de CNPJ. Oferecemos orientação em todas as etapas."
47,Como garantir a segurança jurídica em fusões e aquisições?,"A segurança jurídica em fusões e aquisições requer due diligence, análise contratual e planejamento estratégico. Oferecemos suporte completo."
48,O que é necessário para entrar com uma ação revisional de contrato?,"Para uma ação revisional de contrato, é necessário apresentar os documentos do contrato e comprovar cláusulas abusivas ou excessivas."
49,O escritório oferece consultoria em reestruturação empresarial?,"Sim, oferecemos consultoria em reestruturação empresarial, incluindo renegociação de dívidas e adequação à legislação."
50,Quais cuidados devem ser tomados em uma contratação temporária?,"Recomendamos revisar contratos e condições de trabalho, evitando cláusulas que possam gerar problemas futuros."
51,Como funciona a consultoria para planejamento tributário?,"Nosso escritório auxilia na análise tributária para reduzir encargos fiscais, garantindo economia dentro da legalidade."
52,Qual advogado famoso que há na Tahech?,"Nosso escritório conta com o famoso Dr. Márcio Teles, conhecido por seu gabaritado entendimento jurídico na área criminal."
53,O Jorge é um sócio da Tahech?,"Jorge é um sócio"
54,O Fábio é um sócio da Tahech?,"Fábio é um sócio"
55,O João é um sócio da Tahech?,"João não é um sócio"
56,O que seria o produto GPE, Gestão Estratégica Previdenciária?,"Soluções cruciais para a saúde financeira e a conformidade legal das empresas em relação às suas obrigações previdenciárias.
a) Conformidade Legal e Redução de Riscos através de consultoria e assessoria jurídicas especializadas garantem que a empresa esteja em total conformidade com as leis e regulamentos previdenciários. Isso reduz o risco de autuações, multas e outras penalidades que podem resultar de erros ou omissões nas contribuições previdenciárias;
b) Realização de auditorias regulares para verificar a conformidade, orientar sobre mudanças na legislação e implementar políticas para assegurar que todos os requisitos sejam atendidos corretamente;
c) Identificação de oportunidades para reduzir custos relacionados às contribuições previdenciárias e melhorar o planejamento financeiro da empresa. Isso inclui estratégias para a gestão de passivos e otimização das contribuições de acordo com as particularidades da empresa;
d) Elaboração de estratégias para minimizar a carga previdenciária, podendo negociar acordos com entidades previdenciárias e realizar simulações de cenários para avaliar o impacto financeiro das obrigações previdenciárias;
e) Representação do supermercado em disputas ou litígios relacionados a questões previdenciárias com uma consultoria jurídica especializada para defesa da empresa de forma eficaz. Isso pode incluir a resolução de disputas com autoridades previdenciárias ou a gestão de processos judiciais relacionados;
f) Orientação sobre a melhor abordagem para resolver disputas e acompanhar o andamento dos casos para garantir que os direitos do supermercado sejam protegidos. "
57,Quais são os horários de atendimento?,"Atendemos de segunda a sexta-feira, das 08h às 18h"
